Channel #,Time(s),SPR pixel position,SPR angle,Refractive Index
1,766.199,62.4670272,69.4454189182511,1.33549542447255
1,767.946,62.4759488,69.4448640799432,1.33549096697835
1,769.693,62.4637888,69.4456203170417,1.33549704245305
1,771.44,62.487648,69.4441365090494,1.33548512159364
1,773.078,62.492192,69.4438539209304,1.33548285119424
1,774.826,62.5179456,69.4422523475105,1.33546998307863
1,776.573,62.4978624,69.4435012846244,1.33548001796287
1,778.32,62.5157312,69.4423900557092,1.33547108955777
1,780.067,62.519456,69.4421584195523,1.33546922836751
1,781.814,62.5158016,69.4423856776981,1.33547105438077
1,783.452,62.5341504,69.4412446194652,1.33546188580565
1,785.2,62.5278272,69.4416378383916,1.33546504543606
1,790.441,62.570752,69.4389685363578,1.33544359562686
1,792.188,62.5405888,69.4408442392211,1.33545866857034
1,793.826,62.5574336,69.439796735876,1.33545025111595
1,795.574,62.567712,69.4391575765891,1.33544511479533
1,797.336,62.5856256,69.4380436405508,1.33543616276301
1,799.099,62.5642816,69.4393708942657,1.335446829046
1,800.737,62.587264,69.4379417595935,1.33543534398317
1,802.484,62.584832,69.4380929892003,1.33543655935854
1,804.232,62.5847168,69.4381001527172,1.33543661692881
1,805.979,62.6021696,69.4370148894388,1.33542789488329
1,807.726,62.5924224,69.4376209948722,1.33543276608863
1,809.473,62.593312,69.4375656770563,1.33543232151109
1,811.111,62.610176,69.4365170358123,1.33542389357974
1,812.859,62.616256,69.4361389722089,1.33542085497739
1,814.653,62.6297216,69.4353016691141,1.33541412514221
1,816.4,62.619232,69.4359539208736,1.33541936764813
1,818.038,62.6419712,69.4345399879202,1.33540800288297
1,819.785,62.6346368,69.4349960404141,1.33541166857959
1,821.532,62.6354432,69.4349458983509,1.33541126554749
1,823.279,62.653056,69.4338507422451,1.33540246265378
1,825.027,62.6352832,69.4349558471697,1.33541134551423
1,826.774,62.6515264,69.4339458513204,1.33540322716148
1,828.459,62.644544,69.4343800121945,1.33540671699769
1,830.237,62.65392,69.4337970196108,1.33540203081786
1,831.891,62.6714496,69.4327070572175,1.33539326918686
1,833.638,62.6488192,69.4341141828068,1.33540458023846
1,835.385,62.6520384,69.4339140156302,1.33540297125958
1,837.132,62.6475648,69.4341921805317,1.33540520719365
1,838.88,62.673376,69.4325872779388,1.33539230631651
1,840.518,62.679168,69.4322271456362,1.33538941128548
1,842.265,62.6727808,69.4326242861295,1.33539260381505
1,844.012,62.6805952,69.4321384061781,1.33538869791913
1,845.759,62.6722816,69.4326553252744,1.33539285332969
1,847.506,62.6995776,69.4309581438046,1.33537920963453
1,849.254,62.6917568,69.4314444123343,1.3353831188767
1,850.892,62.71824,69.4297978001101,1.33536988095215
1,852.639,62.6932992,69.4313485112797,1.33538234790985
1,854.386,62.6864704,69.4317731033937,1.33538576125968
1,856.133,62.709856,69.4303190766255,1.33537407186388
1,857.88,62.6879936,69.4316783956196,1.33538499989794
1,859.534,62.7141376,69.4300528669201,1.33537193162836
1,861.281,62.7188352,69.4297607936252,1.33536958342675
1,863.028,62.7139904,69.430062019103,1.33537200520926
1,864.776,62.7276416,69.429213259426,1.33536518128952
1,866.523,62.7340736,69.4288133556331,1.3353619660171
1,868.27,62.7422144,69.4283072124826,1.33535789647912
1,869.908,62.7353216,69.428735762662,1.33536134215352
1,871.655,62.7425152,69.4282885107324,1.33535774610971
1,873.403,62.7469248,69.4280143516873,1.33535554174785
1,875.15,62.7482368,69.4279327806551,1.33535488587449
1,876.897,62.7480512,69.4279443199652,1.33535497865668
1,878.644,62.7546112,69.4275364663551,1.33535169926544
1,880.282,62.7526976,69.4276554399572,1.33535265589227
1,883.777,62.7540864,69.4275690945441,1.33535196161831
1,885.524,62.7807552,69.4259110474558,1.33533862926731
1,887.271,62.7706688,69.4265381317471,1.33534367177536
1,888.909,62.7851072,69.4256404800722,1.33533645353469
1,890.656,62.794496,69.4250567747982,1.33533175964749
1,892.403,62.783712,69.4257272206622,1.33533715105102
1,894.151,62.7698432,69.426589460631,1.33534408451425
1,895.898,62.776672,69.4261649044101,1.33534067059936
1,897.645,62.78688,69.425530263995,1.33533556723821
1,899.283,62.7942528,69.4250718945647,1.33533188123531
1,901.03,62.809152,69.4241456168011,1.33532443227311
1,902.778,62.8028992,69.4245343493645,1.33532755843227
1,904.525,62.8314624,69.4227586136377,1.33531327761619
1,906.272,62.7922048,69.4251992190627,1.33533290513042
1,908.019,62.8130688,69.4239021131142,1.3353224740042
1,909.657,62.813728,69.4238611313796,1.33532214442477
1,911.404,62.8250752,69.4231556928061,1.33531647111118
1,913.152,62.8109888,69.4240314245922,1.33532351393648
1,914.899,62.8207168,69.4234266471018,1.33531865021629
1,916.646,62.8256576,69.423119486082,1.33531617992244
1,918.393,62.8289152,69.4229169675468,1.33531455117917
1,920.14,62.8049664,69.4244058325943,1.33532652491618
1,923.541,62.8376896,69.4223714838183,1.33531016407959
1,925.288,62.8355968,69.4225015878117,1.33531121046258
1,927.036,62.835936,69.4224805006013,1.33531104086563
1,928.674,62.8380736,69.4223476115559,1.33530997208224
1,932.168,62.83184,69.422735139098,1.33531308882114
