Channel #,Time(s),SPR pixel position,SPR angle,SPR reflectance value,Refractive Index,SPR Curve Data
1,108.81,72.8257536,68.8045845598978,27.1990528,1.33026669725781,¢¢¢ ¢¡££¥¥¢ ¢¥¤¢Ÿ˜’‘?Ž?Ž????Ž??‹‡ˆŒŽŽŒˆ…??……€zwvuuwuqnmnllkjiea\[[\[VRRPNKJGDBB@@>>??CEIPX]][UUW^fmoqtwz~„‹?‘‘“•–˜œ¡¤¤¡œ™šŸ¢¢   
1,110558,72.8414464,68.803618869202,27.2029888,1.33025869528476,¢¢¡ ¢¡£¤¥¥¢ ¢¥¤¢Ÿ˜’??ŽŽŽ????Ž??Œ‡ˆŒ?ŽŒ‰…??……€zwvuuwupnmnllljiea\[[\[VRRPNKJGDBB@@>>??CEIPX]^[UUW^flpqtwy~„‹?‘‘”•–˜œ¡¤¤¡œ™šŸ¡¢   
1,112305,72.8263104,68.804550295729,27.1993472,1.33026641334207,¢¢¢ ¢¢£¤¦¥¢ ¢¥¤¢Ÿ—’??ŽŽŽ????Ž??‹‡ˆŒ?ŽŒ‰…??……€zwvuuwuqnmnllljiea\[[\[WRRPNKIGDBB@@>>??CEIPX]][UUW^fmpqtwz~„‹??’”•–˜œ¡¤¥¡œ˜šŸ¡¢   
1,114052,72.8266496,68.8045294221645,27.1965216,1.33026624038175,¢¢¡ ¢¡£¤¥¥¢ ¡¥¤¢Ÿ—’‘?ŽŽŽ????Ž??‹‡ˆŒ?ŽŒ‰…??……€zvvuuwuqnmnllljifa\[[\[VRRPNKJGEBB@@>>??BEIPW]][UUX^fmoqtwz~„‹?‘‘”•–—?¡¤¤¡œ™šŸ¡¡   
1,115799,72.8325376,68.8041670897474,27.1948832,1.33026323803355,¡¢¡ ¢¢££¥¥¢ ¢¥¤¢Ÿ˜’‘?Ž?Ž???????‹‡ˆŒ?ŽŒ‰…??……€zwuuuwuqnmnllljifa\[[\[WRRPNKIGDBB@@>>>?BEIPX]][UUX^floqtwz~„‹?‘’“•–˜œ¡¤¤¡œ™šŸ¡¡   
1,117547,72.8362816,68.8039366947276,27.2017152,1.33026132891381,¢¡¡ ¢¡£¤¥¤£ ¢¥¤¢Ÿ˜’??ŽŽŽ???????‹‡ˆŒ?ŽŒˆ…??……€zwuvuwuqnmnllljifa\[[\[VRRQNKIGDBB@@>>??BEIPX]][UUW^flpqtwz~…‹??‘“•–˜œ¡¤¥¡œ™šž¡¢   
1,119185,72.7279296,68.810604723268,27.2002208,1.33031657354088,¡¡¡ ¢¡££¥¥¢ ¡¥¤¢Ÿ˜’??Ž?Ž????Ž??‹‡ˆŒ?ŽŒˆ„??……€zvuuuwuqnmnlkkjie`\Z[\ZVRQPNJIGDBB@@>>>?CEIPX^^[VUX_gmpquwz~…‹?‘’”•–˜œ¡¥¥¡œ™šŸ¡¡   
1,120932,72.3307776,68.8350519560358,27.1957888,1.33051896684636,¡¡¡ ¢¡££¥¥¢Ÿ¡¤¤¡Ÿ˜‘????Ž???????‹†‡‹??Œˆ„€€„„yvuttvtpmlmkkjigd`[ZZ[YUQPOMJIFDBB@@>>?@CFJQY__]WWY`hnrsvy|€†Œ?’“•–—™?¢¥¥¡œ™šŸ¢¢ ¡ 
1,122679,71.0983488,68.9109790976126,27.207344,1.33114603036051,¡¡¡Ÿ¡¡¢£¤¤¡Ÿ ¤£¡ž–??Ž?Œ??Ž?ŽŒŽŽ‰„…‰‹ŒŠ†‚~~ƒ‚}wsrrrtrmjikhhgfda]XWWYWSNNLJGGECAA@A?@AAFIMU]cca[[^enswwz~€ƒ‰?”•–—˜™›Ÿ¤§¦£?š› ££¡¡¡
1,124426,70.8426368,68.926744928828,27.0424576,1.3312759485652,¡¡¡Ÿ¡¡¢£¥¤¡ ¡¤£¡ž—‘?Ž?Œ??Ž?Ž???‹†‡Œ?ŽŒˆ„??„…yvvuuwtolkkiihgfb^ZYY[ZVPPMKHGECBBAA?@AAFINV^eeb\\`hqwz{~?ƒ‡Œ“–˜˜ššœ?¡¦©¨¤Ÿœ?¡¤£¢¢¢
1,126189,70.2414144,68.9638293195793,27.0359648,1.33158115269206,¡¡¡Ÿ¡ ¢¢¤¤¡Ÿ¡¤£¡ž—????Œ??Ž??Ž??‹‡‡ŒŽŽ‹‡„??„…€zwwvvxupljkiihfeb^ZY[]\WRPMJHHFECCBA@AABGJNV^eeb]^cktz}~?„†‰Ž•™››œ?ž ¤¨ª©¥Ÿ?ž£¥¥£££
